GeneID	GSM8072033	GSM8072034	GSM8072036	GSM8072037	GSM8072038	GSM8072040	GSM8072041	GSM8072042	GSM8072043	GSM8072046	GSM8072047	GSM8072048	GSM8072050	GSM8072051	GSM8072052	GSM8072053	GSM8072054	GSM8072055	GSM8072056	GSM8072057	GSM8072058	GSM8072063	GSM8072064	GSM8072065	GSM8072066	GSM8072067	GSM8072068	GSM8072074	GSM8072078	GSM8072079	GSM8072081	GSM8072084	GSM8072085	GSM8072086	GSM8072088	GSM8072089	GSM8072092	GSM8072094	GSM8072097	GSM8072098	GSM8072099
100287102	10	9	15	10	4	5	8	1	4	6	13	10	10	16	7	6	10	4	9	14	3	4	11	2	7	5	12	19	20	23	7	21	28	6	6	1	1	6	8	5	19
653635	508	448	684	252	456	160	224	122	50	210	538	296	371	317	400	370	520	194	362	468	149	121	289	201	215	86	141	527	251	87	253	170	311	469	670	139	93	193	325	119	383
102466751	11	5	12	3	6	2	4	4	0	2	11	4	5	8	5	3	4	4	5	7	2	2	6	4	1	1	1	5	3	1	2	1	6	20	11	4	1	3	4	0	6
107985730	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1
100302278	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	6	3	1	1	2	0	2	0	0	2	1	0	0	2	3	2	0	1	1	3	1	0	0	0	1	1	1	2	1	4	0	0	0	1	1	0	0	1	0	0	0
79501	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	3	4	1	0	0	0	0	0	0
100996442	140	220	668	200	100	100	34	85	81	136	160	292	78	133	93	87	195	73	91	206	129	151	194	81	164	83	91	245	221	123	98	141	257	376	176	88	98	76	340	168	302
729737	1006	1386	8705	788	911	464	167	453	491	860	919	2543	445	599	816	199	2203	846	1127	1775	1650	550	1898	1383	852	405	392	1689	1468	647	1042	1604	1170	1490	571	769	382	904	2984	1297	3139
102725121	32	10	24	11	11	5	7	1	7	12	14	17	17	25	6	13	23	6	8	25	3	5	11	4	7	6	20	23	18	28	9	22	66	14	7	6	2	9	8	7	26
102723897	362	303	588	220	330	125	231	76	43	165	391	202	342	310	273	270	319	272	259	521	128	93	186	178	165	60	129	404	198	78	213	104	211	324	413	113	54	127	275	97	319
102465909	4	4	8	4	2	2	2	2	0	1	8	2	3	3	2	2	2	3	4	8	2	1	4	1	1	0	0	4	3	1	3	1	3	9	5	2	0	1	3	0	3
107985721	3	2	1	0	1	1	1	1	1	1	2	1	2	0	1	2	1	0	0	1	0	1	0	1	1	5	1	1	0	0	2	0	0	2	1	0	1	0	0	0	4
112268260	38	33	44	22	13	12	17	8	14	18	45	55	11	25	19	22	25	20	11	37	14	44	13	17	35	16	22	31	43	27	28	13	33	65	30	7	18	9	49	20	26
729759	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0	1	2	0	1
100132287	360	551	2560	415	412	152	166	140	207	397	319	1201	232	300	229	105	766	361	457	700	492	318	487	424	414	196	157	639	518	217	287	567	470	446	187	203	232	299	1066	514	1066
105378947	6	1	3	1	0	1	2	0	2	1	0	1	1	3	2	2	3	1	0	2	0	4	0	0	2	2	1	1	5	2	1	0	0	7	0	0	1	0	4	2	5
101928626	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	1	3	2	1	1	0	0	0	0	0	1	0	0	0	2	0	0
113219467	410	3263	561	217	547	623	847	172	131	678	1047	738	575	1279	922	541	822	532	622	659	179	468	313	215	376	110	280	797	236	125	523	182	487	580	1311	185	155	177	369	212	393
81399	21	38	72	30	23	9	10	11	14	28	15	54	15	29	21	12	23	18	15	29	15	19	20	10	26	18	17	45	51	18	21	19	46	69	40	8	16	20	43	28	50
100133331	230	359	1271	275	249	97	152	74	126	260	157	698	212	235	151	76	468	236	229	408	240	183	247	205	238	138	93	368	267	122	190	415	283	253	127	80	148	170	557	272	601
107984841	135	131	323	90	54	37	87	58	32	64	70	161	273	126	72	129	117	147	104	125	46	71	73	28	105	22	34	174	118	56	46	74	45	121	53	47	67	70	165	82	94
107984847	180	93	503	38	79	40	99	37	35	104	66	191	252	148	133	109	226	136	106	217	76	51	105	53	80	39	68	211	166	102	50	106	64	144	83	32	35	77	175	60	144
107984849	53	58	241	35	43	11	30	8	20	46	20	104	47	49	45	20	107	58	42	74	53	29	59	46	34	21	21	118	103	49	27	66	49	91	25	19	30	29	92	45	77
100288069	88	165	314	174	94	48	47	44	46	72	72	202	93	104	56	38	124	92	64	126	67	93	87	35	86	52	52	209	116	65	61	76	111	185	98	37	43	53	147	106	159
105378580	136	287	162	67	92	88	141	54	22	48	105	88	328	141	113	125	100	92	151	157	69	55	101	17	58	38	90	489	109	68	87	62	153	236	293	37	33	74	86	41	154
400728	13	90	46	27	26	17	20	9	8	19	44	16	15	42	17	9	38	21	30	23	15	15	16	8	16	9	11	28	29	7	19	7	38	42	47	17	7	12	21	2	38
79854	157	138	98	29	97	27	56	15	10	64	91	60	63	78	81	48	145	45	97	95	36	27	48	19	35	15	23	52	55	10	49	35	76	99	121	20	14	20	81	22	73
643837	1724	577	287	232	201	85	424	38	8	156	375	102	524	571	247	203	318	312	448	420	71	95	98	64	121	21	134	320	111	51	113	57	133	222	298	58	41	93	124	84	117
107984850	22	6	8	2	6	0	6	1	0	7	22	13	11	23	5	7	6	7	4	6	0	2	6	3	3	0	4	1	4	0	1	9	8	4	21	0	5	0	3	0	1
284593	4	3	2	6	1	1	1	0	1	4	5	3	3	5	0	1	0	1	5	3	0	0	1	0	0	2	2	2	5	1	1	1	4	1	2	0	0	0	2	0	1
284600	2	9	7	4	4	7	4	2	2	9	7	0	1	2	10	2	5	1	0	3	2	0	1	0	6	0	8	11	1	2	2	1	1	10	6	3	0	5	5	0	6
